date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:23	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Apr%202026%2015:22:04%20GMT	https://spadarisrl.com/robots.txt		(from )
12:27:23	12958/12958	---M-Z	200	added ('OK')	text/html	etag:%22329e-60825dc780810-gzip%22	https://spadarisrl.com/	C:/My%20Web%20Sites/Spadari/spadarisrl.com/index.html	(from )
12:27:23	481826/481826	---MCZ	200	added ('OK')	application/javascript	etag:%2275a22-60825dd29f2f0-gzip%22	https://spadarisrl.com/js/fontawesome-markers.min.js	C:/My%20Web%20Sites/Spadari/spadarisrl.com/js/fontawesome-markers.min.js	(from https://spadarisrl.com/)
12:27:23	67488/67488	---M-Z	200	added ('OK')	text/css	etag:%22107a0-60825dcaf7b60-gzip%22	https://spadarisrl.com/css/style.css	C:/My%20Web%20Sites/Spadari/spadarisrl.com/css/style.css	(from https://spadarisrl.com/)
12:27:23	3547/3547	---M-Z	200	added ('OK')	text/css	etag:%22ddb-60825dca13af0-gzip%22	https://spadarisrl.com/css/color-blue.css	C:/My%20Web%20Sites/Spadari/spadarisrl.com/css/color-blue.css	(from https://spadarisrl.com/)
12:27:23	11278/11278	---M-Z	200	added ('OK')	text/css	etag:%222c0e-60825dcac5e80-gzip%22	https://spadarisrl.com/css/responsive.css	C:/My%20Web%20Sites/Spadari/spadarisrl.com/css/responsive.css	(from https://spadarisrl.com/)
12:27:24	35128/35128	---M-Z	200	added ('OK')	text/css	etag:%228938-60825dca5aba8-gzip%22	https://spadarisrl.com/css/font-awesome.css	C:/My%20Web%20Sites/Spadari/spadarisrl.com/css/font-awesome.css	(from https://spadarisrl.com/)
12:27:24	35463/35463	---M-Z	200	added ('OK')	text/css	etag:%228a87-60825dd4231f8-gzip%22	https://spadarisrl.com/rs-plugin/css/settings.css	C:/My%20Web%20Sites/Spadari/spadarisrl.com/rs-plugin/css/settings.css	(from https://spadarisrl.com/)
12:27:24	115205/115205	---M-Z	200	added ('OK')	text/css	etag:%221c205-60825dd3fd868-gzip%22	https://spadarisrl.com/rs-plugin/css/layers.css	C:/My%20Web%20Sites/Spadari/spadarisrl.com/rs-plugin/css/layers.css	(from https://spadarisrl.com/)
12:27:24	59567/59567	---M-Z	200	added ('OK')	text/css	etag:%22e8af-60825dd40a770-gzip%22	https://spadarisrl.com/rs-plugin/css/navigation.css	C:/My%20Web%20Sites/Spadari/spadarisrl.com/rs-plugin/css/navigation.css	(from https://spadarisrl.com/)
12:27:25	4614/4614	---M-Z	200	added ('OK')	text/css	etag:%221206-60825dca75570-gzip%22	https://spadarisrl.com/css/owl.carousel.css	C:/My%20Web%20Sites/Spadari/spadarisrl.com/css/owl.carousel.css	(from https://spadarisrl.com/)
12:27:25	5316/5316	---M-Z	200	added ('OK')	text/css	etag:%2214c4-60825dca8e7c8-gzip%22	https://spadarisrl.com/css/prettyPhoto.css	C:/My%20Web%20Sites/Spadari/spadarisrl.com/css/prettyPhoto.css	(from https://spadarisrl.com/)
